DpDx,EL,vSG,vSL,XYLimits,TITLE,BubbleVSL,BubbleVsG,DispersedBubbleVSL,DispersedbubbleVSG,SlugVSL,SlugVSG,AnnularMistVSL,AnnularMistVSG
5440.4699147048,0.9336517709,0.0129154967,0.0129154967,0.01,'''{\oslash}=5cmP=1000KPaaT=20^{\circ}C{\theta}=90^{\circ}''',0.012916,0.0129155,1.6681,0.0129155,0.0129155,0.215443,0.016681,2.15443
5448.2940352372,0.9351383825,0.0166810054,0.0166810054,100,'''\rho_{liq}=590Kg/m^3\rho_{gas}=56kg/m^3''',0.016681,0.0129155,2.15443,0.0129155,0.016681,0.215443,0.0215443,2.15443
5457.8886278893,0.9369598832,0.0215443469,0.0215443469,0.01,'''\mu_{liq}=0.132cP\mu_{gas}=0.013cP{\sigma}=10.3Dyne/cm''',0.021544,0.0129155,2.78256,0.0129155,0.0215443,0.215443,0.0278256,2.15443
5469.5040104548,0.9391624952,0.027825594,0.027825594,10,,0.027826,0.0129155,3.59381,0.0129155,0.0278256,0.215443,0.0359381,2.15443
5483.3513766212,0.9417841028,0.0359381366,0.0359381366,,,0.035938,0.0129155,4.64159,0.0129155,0.0359381,0.215443,0.0464159,2.15443
5499.5649416683,0.9448465125,0.0464158883,0.0464158883,,,0.046416,0.0129155,5.99484,0.0129155,0.0464159,0.215443,0.0599484,2.15443
5518.1617082269,0.9483469452,0.059948425,0.059948425,,,0.059948,0.0129155,7.74264,0.0129155,0.0129155,0.278256,0.0774264,2.15443
5539.0092176017,0.9522505415,0.0774263683,0.0774263683,,,0.077426,0.0129155,1.6681,0.016681,0.016681,0.278256,0.1,2.15443
5561.815637976,0.9564862942,0.1,0.1,,,0.100000,0.0129155,2.15443,0.016681,0.0215443,0.278256,0.0129155,2.78256
5586.1570670107,0.9609487166,0.1291549665,0.1291549665,,,0.129155,0.0129155,2.78256,0.016681,0.0278256,0.278256,0.016681,2.78256
5611.5526208703,0.9655063764,0.1668100537,0.1668100537,,,0.166810,0.0129155,3.59381,0.016681,0.0359381,0.278256,0.0215443,2.78256
5637.5899708599,0.9700163404,0.215443469,0.215443469,,,0.215443,0.0129155,4.64159,0.016681,0.0464159,0.278256,0.0278256,2.78256
5664.0978569875,0.9743414296,0.2782559402,0.2782559402,,,0.278256,0.0129155,5.99484,0.016681,0.0599484,0.278256,0.0359381,2.78256
5691.3647765726,0.9783660697,0.3593813664,0.3593813664,,,0.359381,0.0129155,7.74264,0.016681,0.0774264,0.278256,0.0464159,2.78256
5720.4200697795,0.9820070798,0.4641588834,0.4641588834,,,0.464159,0.0129155,1.6681,0.0215443,0.0129155,0.359381,0.0599484,2.78256
5753.4272156916,0.985217646,0.5994842503,0.5994842503,,,0.599484,0.0129155,2.15443,0.0215443,0.016681,0.359381,0.0774264,2.78256
5794.290133305,0.9879849651,0.7742636827,0.7742636827,,,0.774264,0.0129155,2.78256,0.0215443,0.0215443,0.359381,0.1,2.78256
